2023/06/21-01:25:41 INFO  this is myFilter, url: /OnlineJudge/contest/contestList - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-3]
2023/06/21-01:25:48 INFO  this is myFilter, url: /OnlineJudge/common/verifyCode - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-8]
2023/06/21-01:25:51 INFO  this is myFilter, url: /OnlineJudge/common/verifyCode - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-4]
2023/06/21-01:25:56 INFO  this is myFilter, url: /OnlineJudge/contest/login - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-13]
2023/06/21-01:25:56 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-5]
2023/06/21-01:25:57 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-7]
2023/06/21-01:25:57 INFO  this is myFilter, url: /OnlineJudge/contest/info/main - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-12]
2023/06/21-01:26:47 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-11]
2023/06/21-01:26:47 INFO  this is myFilter, url: /OnlineJudge/contest/status - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-6]
2023/06/21-01:26:47 INFO  this is myFilter, url: /OnlineJudge/websocket/2020K8009929026 - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-2]
2023/06/21-01:26:47 INFO  用户连接:2020K8009929026 - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-2]
2023/06/21-01:26:49 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-3]
2023/06/21-01:26:49 INFO  this is myFilter, url: /OnlineJudge/contest/info/main - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-8]
2023/06/21-01:27:15 INFO  this is myFilter, url: /OnlineJudge/code/uploadFile - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-4]
2023/06/21-01:27:15 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-13]
2023/06/21-01:27:15 INFO  this is myFilter, url: /OnlineJudge/contest/status - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-5]
2023/06/21-01:27:15 INFO  this is myFilter, url: /OnlineJudge/websocket/2020K8009929026 - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-7]
2023/06/21-01:27:15 INFO  用户连接:2020K8009929026 - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-7]
2023/06/21-01:27:18 INFO  this is myFilter, url: /OnlineJudge/contest/setStatus - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-12]
2023/06/21-01:27:18 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-11]
2023/06/21-01:27:18 INFO  this is myFilter, url: /OnlineJudge/contest/info/main - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-2]
2023/06/21-01:27:20 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-3]
2023/06/21-01:27:20 INFO  this is myFilter, url: /OnlineJudge/contest/status - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-8]
2023/06/21-01:27:20 INFO  this is myFilter, url: /OnlineJudge/websocket/2020K8009929026 - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-4]
2023/06/21-01:27:20 INFO  用户连接:2020K8009929026 - c.s.o.common.utils.WebSocketService - [http-nio-127.0.0.1-8080-exec-4]
2023/06/21-01:27:21 INFO  this is myFilter, url: /OnlineJudge/contest/token - c.s.o.common.filter.MyFilter - [http-nio-127.0.0.1-8080-exec-13]
